5.059000	5.059000	B
6.059000	6.059000	B
7.059000	7.059000	B
8.059000	8.059000	B
13.059000	13.059000	B
14.059000	14.059000	B
14.559000	14.559000	B
15.059000	15.059000	B
16.059000	16.059000	B
21.060000	21.060000	B
21.560000	21.560000	B
22.060000	22.060000	B
23.060000	23.060000	B
23.560000	23.560000	B
24.060000	24.060000	B
29.126000	29.126000	B
29.393000	29.393000	B
29.893000	29.893000	B
30.160000	30.160000	B
30.660000	30.660000	B
31.160000	31.160000	B
31.426000	31.426000	B
31.926000	31.926000	B
32.193000	32.193000	B
32.693000	32.693000	B
37.726000	37.726000	B
38.226000	38.226000	B
38.560000	38.560000	B
38.893000	38.893000	B
39.726000	39.726000	B
39.993000	39.993000	B
40.260000	40.260000	B
40.593000	40.593000	B
40.926000	40.926000	B
45.793000	45.793000	B
46.793000	46.793000	B
47.059000	47.059000	B
47.326000	47.326000	B
47.726000	47.726000	B
48.126000	48.126000	B
48.526000	48.526000	B
48.926000	48.926000	B
53.526000	53.526000	B
53.993000	53.993000	B
54.459000	54.459000	B
54.926000	54.926000	B
55.393000	55.393000	B
55.859000	55.859000	B
56.326000	56.326000	B
56.793000	56.793000	B
57.259000	57.259000	B
62.159000	62.159000	B
62.959000	62.959000	B
64.093000	64.093000	B
64.759000	64.759000	B
65.426000	65.426000	B
70.026000	70.026000	B
70.293000	70.293000	B
70.559000	70.559000	B
70.826000	70.826000	B
71.093000	71.093000	B
71.359000	71.359000	B
71.626000	71.626000	B
71.893000	71.893000	B
72.026000	72.026000	B
72.159000	72.159000	B
72.426000	72.426000	B
72.693000	72.693000	B
72.959000	72.959000	B
73.226000	73.226000	B
73.493000	73.493000	B
73.759000	73.759000	B
73.893000	73.893000	B
74.026000	74.026000	B
74.159000	74.159000	B
82.059000	82.059000	B
82.326000	82.326000	B
