4.046	2.046	B
4.548	2.548	B
5.047	3.047	B
5.547	3.547	B
8.047	6.047	B
8.547	6.547	B
8.797	6.797	B
9.048	7.048	B
9.546	7.546	B
12.047	10.047	B
12.297	10.297	B
12.548	10.548	B
13.047	11.047	B
13.295	11.295	B
13.548	11.548	B
16.046	14.046	B
16.171	14.171	B
16.422	14.422	B
16.547	14.547	B
16.796	14.796	B
17.047	15.047	B
17.171	15.171	B
17.423	15.423	B
17.549	15.549	B
17.795	15.795	B
20.297	18.297	B
20.547	18.547	B
20.714	18.714	B
20.88	18.88	B
21.296	19.296	B
21.421	19.421	B
21.547	19.547	B
21.713	19.713	B
21.88	19.88	B
24.297	22.297	B
24.796	22.796	B
24.923	22.923	B
25.047	23.047	B
25.247	23.247	B
25.448	23.448	B
25.645	23.645	B
25.847	23.847	B
28.047	26.047	B
28.269	26.269	B
28.493	26.493	B
28.714	26.714	B
28.936	26.936	B
29.158	27.158	B
29.38	27.38	B
29.602	27.602	B
29.825	27.825	B
32.247	30.247	B
32.649	30.649	B
33.213	31.213	B
33.549	31.549	B
33.882	31.882	B
36.047	34.047	B
36.173	34.173	B
36.297	34.297	B
36.422	34.422	B
36.548	34.548	B
36.672	34.672	B
36.796	34.796	B
36.922	34.922	B
36.984	34.984	B
37.045	35.045	B
37.171	35.171	B
37.297	35.297	B
37.422	35.422	B
37.546	35.546	B
37.672	35.672	B
37.796	35.796	B
37.858	35.858	B
37.92	35.92	B
37.983	35.983	B
41.922	39.922	B
